x	y	label	group	showSelected1	showSelected2
-20	50.45	Cluster 3547: 210/210 pixels shown, logFC -1.2 to 1.2, log10(p) 0.0 to 13.2	1	3547	100,0
-20	50.45	Cluster 3644: 2/2 pixels shown, logFC -1.5 to -1.5, log10(p) 0.4 to 0.4	1	3644	100,0
-20	50.45	Cluster 3847: 28/28 pixels shown, logFC -1.4 to 0.1, log10(p) 0.0 to 19.4	1	3847	200,0
-20	50.45	Cluster 3932: 12/12 pixels shown, logFC 0.0 to 1.2, log10(p) 0.1 to 3.2	1	3932	200,0
-20	50.45	Cluster 3974: 160/326 pixels shown, logFC -2.0 to 0.3, log10(p) 0.0 to 12.5	1	3974	100,0
-20	50.45	Cluster 3974: 166/326 pixels shown, logFC -2.0 to 0.3, log10(p) 0.0 to 12.5	1	3974	150,0
-20	50.45	Cluster 3984: 23/23 pixels shown, logFC 0.7 to 1.8, log10(p) 3.1 to 13.8	1	3984	200,0
-20	50.45	Cluster 4262: 104/104 pixels shown, logFC -1.4 to 0.4, log10(p) 1.1 to 30.9	1	4262	150,0
-20	50.45	Cluster 4341: 28/28 pixels shown, logFC -1.3 to -0.6, log10(p) 11.2 to 53.5	1	4341	200,0
-20	50.45	Cluster 4428: 246/423 pixels shown, logFC -2.6 to 2.8, log10(p) 0.0 to 6.6	1	4428	150,0
-20	50.45	Cluster 4428: 177/423 pixels shown, logFC -2.6 to 2.8, log10(p) 0.0 to 6.6	1	4428	150,50
-20	50.45	Cluster 4454: 120/120 pixels shown, logFC -0.3 to 2.0, log10(p) 0.1 to 16.2	1	4454	200,0
-20	50.45	Cluster 4497: 229/229 pixels shown, logFC -1.5 to 0.8, log10(p) 0.0 to 3.4	1	4497	150,0
-20	50.45	Cluster 4647: 145/145 pixels shown, logFC -1.3 to 0.8, log10(p) 0.0 to 18.7	1	4647	200,0
-20	50.45	Cluster 4665: 34/293 pixels shown, logFC -1.9 to 1.5, log10(p) 0.0 to 3.3	1	4665	150,0
-20	50.45	Cluster 4665: 259/293 pixels shown, logFC -1.9 to 1.5, log10(p) 0.0 to 3.3	1	4665	150,50
-20	50.45	Cluster 4668: 19/19 pixels shown, logFC -1.5 to -0.7, log10(p) 6.2 to 29.8	1	4668	150,0
-20	50.45	Cluster 4860: 316/422 pixels shown, logFC -1.6 to 1.3, log10(p) 0.0 to 5.0	1	4860	150,0
-20	50.45	Cluster 4860: 56/422 pixels shown, logFC -1.6 to 1.3, log10(p) 0.0 to 5.0	1	4860	150,50
-20	50.45	Cluster 4860: 50/422 pixels shown, logFC -1.6 to 1.3, log10(p) 0.0 to 5.0	1	4860	200,0
-20	50.45	Cluster 5238: 6/6 pixels shown, logFC 0.2 to 1.3, log10(p) 0.4 to 5.9	1	5238	200,0
-20	50.45	Cluster 5423: 183/183 pixels shown, logFC -1.7 to 0.4, log10(p) 0.0 to 43.3	1	5423	100,0
-20	50.45	Cluster 5908: 10/10 pixels shown, logFC -1.3 to -0.5, log10(p) 5.7 to 35.6	1	5908	200,0
-20	50.45	Cluster 6002: 15/15 pixels shown, logFC -0.8 to -0.5, log10(p) 4.3 to 11.0	1	6002	200,0
-20	50.45	Cluster 6018: 89/242 pixels shown, logFC -1.1 to 0.5, log10(p) 0.0 to 6.3	1	6018	100,0
-20	50.45	Cluster 6018: 153/242 pixels shown, logFC -1.1 to 0.5, log10(p) 0.0 to 6.3	1	6018	150,0
-20	50.45	Cluster 6066: 97/97 pixels shown, logFC -1.0 to 0.8, log10(p) 0.0 to 6.4	1	6066	100,0
-20	50.45	Cluster 6239: 9/9 pixels shown, logFC 0.3 to 1.4, log10(p) 0.6 to 5.2	1	6239	200,0
-20	50.45	Cluster 6392: 19/50 pixels shown, logFC -0.0 to 2.1, log10(p) 0.0 to 7.5	1	6392	150,0
-20	50.45	Cluster 6392: 31/50 pixels shown, logFC -0.0 to 2.1, log10(p) 0.0 to 7.5	1	6392	200,0
-20	50.45	Cluster 6704: 9/66 pixels shown, logFC -1.0 to 0.8, log10(p) 0.0 to 3.2	1	6704	150,0
-20	50.45	Cluster 6704: 57/66 pixels shown, logFC -1.0 to 0.8, log10(p) 0.0 to 3.2	1	6704	200,0
-20	50.45	Cluster 6705: 143/143 pixels shown, logFC -0.9 to 0.6, log10(p) 0.0 to 3.5	1	6705	200,0
-20	50.45	Cluster 6706: 5/64 pixels shown, logFC -0.8 to 0.4, log10(p) 0.0 to 2.5	1	6706	150,0
-20	50.45	Cluster 6706: 59/64 pixels shown, logFC -0.8 to 0.4, log10(p) 0.0 to 2.5	1	6706	200,0
-20	50.45	Cluster 6708: 28/33 pixels shown, logFC -1.4 to 0.2, log10(p) 0.0 to 4.0	1	6708	150,0
-20	50.45	Cluster 6708: 5/33 pixels shown, logFC -1.4 to 0.2, log10(p) 0.0 to 4.0	1	6708	200,0
-20	50.45	Cluster 6718: 73/73 pixels shown, logFC -1.6 to -0.3, log10(p) 4.4 to 95.2	1	6718	100,0
-20	50.45	Cluster 6720: 26/26 pixels shown, logFC -1.6 to -0.2, log10(p) 0.8 to 50.4	1	6720	100,0
-20	50.45	Cluster 6857: 3/3 pixels shown, logFC -1.2 to -0.8, log10(p) 18.8 to 28.3	1	6857	200,0
-20	50.45	Cluster 7024: 7/7 pixels shown, logFC -1.2 to -0.5, log10(p) 6.5 to 35.8	1	7024	200,0
-20	50.45	Cluster 7026: 13/13 pixels shown, logFC -1.1 to -0.5, log10(p) 7.6 to 41.2	1	7026	200,0
