x	y	clickSelects	group	xmin	xmax	ymin	ymax
-1	25	logFC=-1 -log10(p)=25	19	-1.125	-0.875	22.5	27.5
-1.75	10	logFC=-1.75 -log10(p)=10	67	-1.875	-1.625	7.5	12.5
-3.25	10	logFC=-3.25 -log10(p)=10	145	-3.375	-3.125	7.5	12.5
-4.5	10	logFC=-4.5 -log10(p)=10	173	-4.625	-4.375	7.5	12.5
-1.5	85	logFC=-1.5 -log10(p)=85	63	-1.625	-1.375	82.5	87.5
-2.75	10	logFC=-2.75 -log10(p)=10	129	-2.875	-2.625	7.5	12.5
-2.5	15	logFC=-2.5 -log10(p)=15	117	-2.625	-2.375	12.5	17.5
-3.75	10	logFC=-3.75 -log10(p)=10	157	-3.875	-3.625	7.5	12.5
-4.25	5	logFC=-4.25 -log10(p)=5	171	-4.375	-4.125	2.5	7.5
-2.25	10	logFC=-2.25 -log10(p)=10	104	-2.375	-2.125	7.5	12.5
-1.25	65	logFC=-1.25 -log10(p)=65	40	-1.375	-1.125	62.5	67.5
-5	0	logFC=-5 -log10(p)=0	182	-5.125	-4.875	-2.5	2.5
-1.25	40	logFC=-1.25 -log10(p)=40	34	-1.375	-1.125	37.5	42.5
-1.75	15	logFC=-1.75 -log10(p)=15	71	-1.875	-1.625	12.5	17.5
2.25	10	logFC=2.25 -log10(p)=10	264	2.125	2.375	7.5	12.5
-1	45	logFC=-1 -log10(p)=45	23	-1.125	-0.875	42.5	47.5
1.5	15	logFC=1.5 -log10(p)=15	226	1.375	1.625	12.5	17.5
2	25	logFC=2 -log10(p)=25	253	1.875	2.125	22.5	27.5
1.75	15	logFC=1.75 -log10(p)=15	237	1.625	1.875	12.5	17.5
1.5	10	logFC=1.5 -log10(p)=10	225	1.375	1.625	7.5	12.5
1.75	10	logFC=1.75 -log10(p)=10	236	1.625	1.875	7.5	12.5
1.25	15	logFC=1.25 -log10(p)=15	215	1.125	1.375	12.5	17.5
2.25	15	logFC=2.25 -log10(p)=15	265	2.125	2.375	12.5	17.5
2.5	10	logFC=2.5 -log10(p)=10	281	2.375	2.625	7.5	12.5
2	15	logFC=2 -log10(p)=15	251	1.875	2.125	12.5	17.5
2.25	20	logFC=2.25 -log10(p)=20	266	2.125	2.375	17.5	22.5
0.75	10	logFC=0.75 -log10(p)=10	202	0.625	0.875	7.5	12.5
2	10	logFC=2 -log10(p)=10	250	1.875	2.125	7.5	12.5
2.5	20	logFC=2.5 -log10(p)=20	283	2.375	2.625	17.5	22.5
-4.75	10	logFC=-4.75 -log10(p)=10	178	-4.875	-4.625	7.5	12.5
-1.5	60	logFC=-1.5 -log10(p)=60	58	-1.625	-1.375	57.5	62.5
1.5	20	logFC=1.5 -log10(p)=20	227	1.375	1.625	17.5	22.5
2	20	logFC=2 -log10(p)=20	252	1.875	2.125	17.5	22.5
1.25	20	logFC=1.25 -log10(p)=20	216	1.125	1.375	17.5	22.5
-1.75	40	logFC=-1.75 -log10(p)=40	76	-1.875	-1.625	37.5	42.5
-3.5	10	logFC=-3.5 -log10(p)=10	150	-3.625	-3.375	7.5	12.5
-2.5	10	logFC=-2.5 -log10(p)=10	116	-2.625	-2.375	7.5	12.5
-6	10	logFC=-6 -log10(p)=10	190	-6.125	-5.875	7.5	12.5
5.5	15	logFC=5.5 -log10(p)=15	383	5.375	5.625	12.5	17.5
-1.75	50	logFC=-1.75 -log10(p)=50	79	-1.875	-1.625	47.5	52.5
-1	50	logFC=-1 -log10(p)=50	25	-1.125	-0.875	47.5	52.5
-1.5	40	logFC=-1.5 -log10(p)=40	53	-1.625	-1.375	37.5	42.5
-0.75	30	logFC=-0.75 -log10(p)=30	12	-0.875	-0.625	27.5	32.5
-1.75	70	logFC=-1.75 -log10(p)=70	83	-1.875	-1.625	67.5	72.5
-1.5	80	logFC=-1.5 -log10(p)=80	62	-1.625	-1.375	77.5	82.5
-1.5	75	logFC=-1.5 -log10(p)=75	61	-1.625	-1.375	72.5	77.5
-2	100	logFC=-2 -log10(p)=100	90	-2.125	-1.875	97.5	102.5
-2	70	logFC=-2 -log10(p)=70	101	-2.125	-1.875	67.5	72.5
-1.5	100	logFC=-1.5 -log10(p)=100	46	-1.625	-1.375	97.5	102.5
-3.25	15	logFC=-3.25 -log10(p)=15	146	-3.375	-3.125	12.5	17.5
-3.75	15	logFC=-3.75 -log10(p)=15	158	-3.875	-3.625	12.5	17.5
-1.5	70	logFC=-1.5 -log10(p)=70	60	-1.625	-1.375	67.5	72.5
0.5	10	logFC=0.5 -log10(p)=10	199	0.375	0.625	7.5	12.5
1.75	20	logFC=1.75 -log10(p)=20	238	1.625	1.875	17.5	22.5
-4.75	0	logFC=-4.75 -log10(p)=0	177	-4.875	-4.625	-2.5	2.5
-6.25	10	logFC=-6.25 -log10(p)=10	192	-6.375	-6.125	7.5	12.5
-0.5	15	logFC=-0.5 -log10(p)=15	5	-0.625	-0.375	12.5	17.5
-2	50	logFC=-2 -log10(p)=50	99	-2.125	-1.875	47.5	52.5
-5	15	logFC=-5 -log10(p)=15	183	-5.125	-4.875	12.5	17.5
-4	20	logFC=-4 -log10(p)=20	165	-4.125	-3.875	17.5	22.5
1	25	logFC=1 -log10(p)=25	210	0.875	1.125	22.5	27.5
-3.5	15	logFC=-3.5 -log10(p)=15	151	-3.625	-3.375	12.5	17.5
-4.75	30	logFC=-4.75 -log10(p)=30	180	-4.875	-4.625	27.5	32.5
-3.5	20	logFC=-3.5 -log10(p)=20	152	-3.625	-3.375	17.5	22.5
-5.25	15	logFC=-5.25 -log10(p)=15	185	-5.375	-5.125	12.5	17.5
-3.75	30	logFC=-3.75 -log10(p)=30	160	-3.875	-3.625	27.5	32.5
-3	15	logFC=-3 -log10(p)=15	140	-3.125	-2.875	12.5	17.5
2.5	30	logFC=2.5 -log10(p)=30	285	2.375	2.625	27.5	32.5
2.5	35	logFC=2.5 -log10(p)=35	286	2.375	2.625	32.5	37.5
2.75	25	logFC=2.75 -log10(p)=25	299	2.625	2.875	22.5	27.5
2.75	40	logFC=2.75 -log10(p)=40	302	2.625	2.875	37.5	42.5
3	50	logFC=3 -log10(p)=50	321	2.875	3.125	47.5	52.5
2.5	25	logFC=2.5 -log10(p)=25	284	2.375	2.625	22.5	27.5
2.75	45	logFC=2.75 -log10(p)=45	303	2.625	2.875	42.5	47.5
3	60	logFC=3 -log10(p)=60	323	2.875	3.125	57.5	62.5
2.75	35	logFC=2.75 -log10(p)=35	301	2.625	2.875	32.5	37.5
2.25	30	logFC=2.25 -log10(p)=30	268	2.125	2.375	27.5	32.5
2.25	25	logFC=2.25 -log10(p)=25	267	2.125	2.375	22.5	27.5
6.5	10	logFC=6.5 -log10(p)=10	389	6.375	6.625	7.5	12.5
4.25	15	logFC=4.25 -log10(p)=15	369	4.125	4.375	12.5	17.5
3.25	15	logFC=3.25 -log10(p)=15	331	3.125	3.375	12.5	17.5
3.5	15	logFC=3.5 -log10(p)=15	349	3.375	3.625	12.5	17.5
-1.75	55	logFC=-1.75 -log10(p)=55	80	-1.875	-1.625	52.5	57.5
2	35	logFC=2 -log10(p)=35	255	1.875	2.125	32.5	37.5
2.25	40	logFC=2.25 -log10(p)=40	270	2.125	2.375	37.5	42.5
2.25	45	logFC=2.25 -log10(p)=45	271	2.125	2.375	42.5	47.5
2.75	15	logFC=2.75 -log10(p)=15	297	2.625	2.875	12.5	17.5
1.75	30	logFC=1.75 -log10(p)=30	240	1.625	1.875	27.5	32.5
6.75	15	logFC=6.75 -log10(p)=15	391	6.625	6.875	12.5	17.5
5.25	15	logFC=5.25 -log10(p)=15	381	5.125	5.375	12.5	17.5
4	15	logFC=4 -log10(p)=15	366	3.875	4.125	12.5	17.5
2.5	15	logFC=2.5 -log10(p)=15	282	2.375	2.625	12.5	17.5
3.75	15	logFC=3.75 -log10(p)=15	360	3.625	3.875	12.5	17.5
1.25	25	logFC=1.25 -log10(p)=25	217	1.125	1.375	22.5	27.5
2	55	logFC=2 -log10(p)=55	260	1.875	2.125	52.5	57.5
2.25	75	logFC=2.25 -log10(p)=75	278	2.125	2.375	72.5	77.5
2.5	75	logFC=2.5 -log10(p)=75	294	2.375	2.625	72.5	77.5
2.25	55	logFC=2.25 -log10(p)=55	274	2.125	2.375	52.5	57.5
2	45	logFC=2 -log10(p)=45	257	1.875	2.125	42.5	47.5
1.5	30	logFC=1.5 -log10(p)=30	229	1.375	1.625	27.5	32.5
1.5	25	logFC=1.5 -log10(p)=25	228	1.375	1.625	22.5	27.5
1	20	logFC=1 -log10(p)=20	209	0.875	1.125	17.5	22.5
0.75	15	logFC=0.75 -log10(p)=15	203	0.625	0.875	12.5	17.5
-1.75	75	logFC=-1.75 -log10(p)=75	84	-1.875	-1.625	72.5	77.5
-2	80	logFC=-2 -log10(p)=80	102	-2.125	-1.875	77.5	82.5
-2.25	20	logFC=-2.25 -log10(p)=20	106	-2.375	-2.125	17.5	22.5
-4	10	logFC=-4 -log10(p)=10	163	-4.125	-3.875	7.5	12.5
-1.25	75	logFC=-1.25 -log10(p)=75	42	-1.375	-1.125	72.5	77.5
-1.75	25	logFC=-1.75 -log10(p)=25	73	-1.875	-1.625	22.5	27.5
-2	25	logFC=-2 -log10(p)=25	93	-2.125	-1.875	22.5	27.5
-2.25	35	logFC=-2.25 -log10(p)=35	109	-2.375	-2.125	32.5	37.5
-2.75	15	logFC=-2.75 -log10(p)=15	130	-2.875	-2.625	12.5	17.5
1.5	35	logFC=1.5 -log10(p)=35	230	1.375	1.625	32.5	37.5
1.5	40	logFC=1.5 -log10(p)=40	231	1.375	1.625	37.5	42.5
1.25	30	logFC=1.25 -log10(p)=30	218	1.125	1.375	27.5	32.5
2	50	logFC=2 -log10(p)=50	259	1.875	2.125	47.5	52.5
1.75	25	logFC=1.75 -log10(p)=25	239	1.625	1.875	22.5	27.5
-4.5	25	logFC=-4.5 -log10(p)=25	175	-4.625	-4.375	22.5	27.5
-2	30	logFC=-2 -log10(p)=30	94	-2.125	-1.875	27.5	32.5
2.75	20	logFC=2.75 -log10(p)=20	298	2.625	2.875	17.5	22.5
3.25	40	logFC=3.25 -log10(p)=40	336	3.125	3.375	37.5	42.5
3	20	logFC=3 -log10(p)=20	314	2.875	3.125	17.5	22.5
3	30	logFC=3 -log10(p)=30	316	2.875	3.125	27.5	32.5
3.75	55	logFC=3.75 -log10(p)=55	362	3.625	3.875	52.5	57.5
2.5	40	logFC=2.5 -log10(p)=40	287	2.375	2.625	37.5	42.5
2.25	35	logFC=2.25 -log10(p)=35	269	2.125	2.375	32.5	37.5
2.75	55	logFC=2.75 -log10(p)=55	306	2.625	2.875	52.5	57.5
3.25	45	logFC=3.25 -log10(p)=45	337	3.125	3.375	42.5	47.5
3	15	logFC=3 -log10(p)=15	313	2.875	3.125	12.5	17.5
2.5	60	logFC=2.5 -log10(p)=60	292	2.375	2.625	57.5	62.5
2	40	logFC=2 -log10(p)=40	256	1.875	2.125	37.5	42.5
2.25	70	logFC=2.25 -log10(p)=70	277	2.125	2.375	67.5	72.5
2.5	50	logFC=2.5 -log10(p)=50	290	2.375	2.625	47.5	52.5
3	45	logFC=3 -log10(p)=45	319	2.875	3.125	42.5	47.5
3	55	logFC=3 -log10(p)=55	322	2.875	3.125	52.5	57.5
3.75	95	logFC=3.75 -log10(p)=95	363	3.625	3.875	92.5	97.5
3.5	65	logFC=3.5 -log10(p)=65	355	3.375	3.625	62.5	67.5
2	30	logFC=2 -log10(p)=30	254	1.875	2.125	27.5	32.5
3.5	45	logFC=3.5 -log10(p)=45	353	3.375	3.625	42.5	47.5
2.75	30	logFC=2.75 -log10(p)=30	300	2.625	2.875	27.5	32.5
3.25	35	logFC=3.25 -log10(p)=35	335	3.125	3.375	32.5	37.5
3	35	logFC=3 -log10(p)=35	317	2.875	3.125	32.5	37.5
3	25	logFC=3 -log10(p)=25	315	2.875	3.125	22.5	27.5
3.25	30	logFC=3.25 -log10(p)=30	334	3.125	3.375	27.5	32.5
4.25	30	logFC=4.25 -log10(p)=30	370	4.125	4.375	27.5	32.5
3.25	20	logFC=3.25 -log10(p)=20	332	3.125	3.375	17.5	22.5
1.75	45	logFC=1.75 -log10(p)=45	243	1.625	1.875	42.5	47.5
1.75	35	logFC=1.75 -log10(p)=35	241	1.625	1.875	32.5	37.5
1	30	logFC=1 -log10(p)=30	211	0.875	1.125	27.5	32.5
-1.5	90	logFC=-1.5 -log10(p)=90	64	-1.625	-1.375	87.5	92.5
-1.75	60	logFC=-1.75 -log10(p)=60	81	-1.875	-1.625	57.5	62.5
1.25	35	logFC=1.25 -log10(p)=35	219	1.125	1.375	32.5	37.5
1.75	60	logFC=1.75 -log10(p)=60	247	1.625	1.875	57.5	62.5
-4	15	logFC=-4 -log10(p)=15	164	-4.125	-3.875	12.5	17.5
-3.5	25	logFC=-3.5 -log10(p)=25	153	-3.625	-3.375	22.5	27.5
-1.5	105	logFC=-1.5 -log10(p)=105	47	-1.625	-1.375	102.5	107.5
-1.75	110	logFC=-1.75 -log10(p)=110	69	-1.875	-1.625	107.5	112.5
2.75	60	logFC=2.75 -log10(p)=60	307	2.625	2.875	57.5	62.5
1.75	40	logFC=1.75 -log10(p)=40	242	1.625	1.875	37.5	42.5
2.25	60	logFC=2.25 -log10(p)=60	275	2.125	2.375	57.5	62.5
-4.25	25	logFC=-4.25 -log10(p)=25	170	-4.375	-4.125	22.5	27.5
2	65	logFC=2 -log10(p)=65	262	1.875	2.125	62.5	67.5
-4.25	10	logFC=-4.25 -log10(p)=10	168	-4.375	-4.125	7.5	12.5
3.25	50	logFC=3.25 -log10(p)=50	339	3.125	3.375	47.5	52.5
3	40	logFC=3 -log10(p)=40	318	2.875	3.125	37.5	42.5
3	70	logFC=3 -log10(p)=70	325	2.875	3.125	67.5	72.5
3.25	65	logFC=3.25 -log10(p)=65	341	3.125	3.375	62.5	67.5
3.25	25	logFC=3.25 -log10(p)=25	333	3.125	3.375	22.5	27.5
3.5	30	logFC=3.5 -log10(p)=30	352	3.375	3.625	27.5	32.5
2.75	50	logFC=2.75 -log10(p)=50	305	2.625	2.875	47.5	52.5
2.25	50	logFC=2.25 -log10(p)=50	273	2.125	2.375	47.5	52.5
3	105	logFC=3 -log10(p)=105	312	2.875	3.125	102.5	107.5
3.25	95	logFC=3.25 -log10(p)=95	344	3.125	3.375	92.5	97.5
2.5	55	logFC=2.5 -log10(p)=55	291	2.375	2.625	52.5	57.5
-3	20	logFC=-3 -log10(p)=20	141	-3.125	-2.875	17.5	22.5
-3.25	20	logFC=-3.25 -log10(p)=20	147	-3.375	-3.125	17.5	22.5
-4.25	20	logFC=-4.25 -log10(p)=20	169	-4.375	-4.125	17.5	22.5
-3.75	20	logFC=-3.75 -log10(p)=20	159	-3.875	-3.625	17.5	22.5
-1.25	80	logFC=-1.25 -log10(p)=80	43	-1.375	-1.125	77.5	82.5
-7.75	25	logFC=-7.75 -log10(p)=25	194	-7.875	-7.625	22.5	27.5
-2.25	40	logFC=-2.25 -log10(p)=40	110	-2.375	-2.125	37.5	42.5
-2	35	logFC=-2 -log10(p)=35	95	-2.125	-1.875	32.5	37.5
-5.75	30	logFC=-5.75 -log10(p)=30	188	-5.875	-5.625	27.5	32.5
1.5	45	logFC=1.5 -log10(p)=45	232	1.375	1.625	42.5	47.5
2	60	logFC=2 -log10(p)=60	261	1.875	2.125	57.5	62.5
-1.75	65	logFC=-1.75 -log10(p)=65	82	-1.875	-1.625	62.5	67.5
-1.75	115	logFC=-1.75 -log10(p)=115	70	-1.875	-1.625	112.5	117.5
-2.5	25	logFC=-2.5 -log10(p)=25	119	-2.625	-2.375	22.5	27.5
