x	y	clickSelects	group	xmin	xmax	ymin	ymax
1480	1274	1500,1250	246	1455	1505	1249	1299
1530	1324	1550,1300	276	1505	1555	1299	1349
1580	1374	1600,1350	307	1555	1605	1349	1399
1630	1424	1650,1400	339	1605	1655	1399	1449
1680	1474	1700,1450	372	1655	1705	1449	1499
1730	1524	1750,1500	407	1705	1755	1499	1549
1780	1574	1800,1550	442	1755	1805	1549	1599
1830	1624	1850,1600	478	1805	1855	1599	1649
1880	1674	1900,1650	515	1855	1905	1649	1699
1930	1724	1950,1700	553	1905	1955	1699	1749
1980	1774	2000,1750	595	1955	2005	1749	1799
2030	1824	2050,1800	635	2005	2055	1799	1849
280	24	300,0	1171	255	305	-1	49
380	124	400,100	1373	355	405	99	149
480	224	500,200	1390	455	505	199	249
580	324	600,300	1411	555	605	299	349
680	424	700,400	1436	655	705	399	449
780	524	800,500	1466	755	805	499	549
880	624	900,600	1499	855	905	599	649
980	724	1000,700	16	955	1005	699	749
1180	924	1200,900	105	1155	1205	899	949
1280	1024	1300,1000	133	1255	1305	999	1049
1380	1124	1400,1100	186	1355	1405	1099	1149
1480	1224	1500,1200	245	1455	1505	1199	1249
1580	1324	1600,1300	306	1555	1605	1299	1349
1680	1424	1700,1400	371	1655	1705	1399	1449
1780	1524	1800,1500	441	1755	1805	1499	1549
1880	1624	1900,1600	514	1855	1905	1599	1649
1980	1724	2000,1700	594	1955	2005	1699	1749
330	74	350,50	1326	305	355	49	99
430	174	450,150	1381	405	455	149	199
530	274	550,250	1400	505	555	249	299
630	374	650,350	1423	605	655	349	399
730	474	750,450	1450	705	755	449	499
830	574	850,550	1482	805	855	549	599
930	674	950,650	1517	905	955	649	699
1030	774	1050,750	36	1005	1055	749	799
1080	824	1100,800	58	1055	1105	799	849
1130	874	1150,850	81	1105	1155	849	899
1230	974	1250,950	130	1205	1255	949	999
1330	1074	1350,1050	159	1305	1355	1049	1099
1430	1174	1450,1150	214	1405	1455	1149	1199
1530	1274	1550,1250	275	1505	1555	1249	1299
1630	1374	1650,1350	338	1605	1655	1349	1399
1730	1474	1750,1450	405	1705	1755	1449	1499
1830	1574	1850,1550	477	1805	1855	1549	1599
1930	1674	1950,1650	552	1905	1955	1649	1699
2030	1774	2050,1750	634	2005	2055	1749	1799
2080	1824	2100,1800	673	2055	2105	1799	1849
330	24	350,0	1321	305	355	-1	49
380	74	400,50	1378	355	405	49	99
430	124	450,100	1380	405	455	99	149
480	174	500,150	1389	455	505	149	199
530	224	550,200	1399	505	555	199	249
580	274	600,250	1410	555	605	249	299
630	324	650,300	1422	605	655	299	349
680	374	700,350	1435	655	705	349	399
730	424	750,400	1449	705	755	399	449
780	474	800,450	1464	755	805	449	499
830	524	850,500	1481	805	855	499	549
880	574	900,550	1498	855	905	549	599
930	624	950,600	1516	905	955	599	649
980	674	1000,650	15	955	1005	649	699
1030	724	1050,700	35	1005	1055	699	749
1080	774	1100,750	57	1055	1105	749	799
1130	824	1150,800	80	1105	1155	799	849
1180	874	1200,850	104	1155	1205	849	899
1230	924	1250,900	129	1205	1255	899	949
1280	974	1300,950	155	1255	1305	949	999
1330	1024	1350,1000	158	1305	1355	999	1049
1380	1074	1400,1050	185	1355	1405	1049	1099
1430	1124	1450,1100	213	1405	1455	1099	1149
1480	1174	1500,1150	244	1455	1505	1149	1199
1530	1224	1550,1200	274	1505	1555	1199	1249
1580	1274	1600,1250	305	1555	1605	1249	1299
1630	1324	1650,1300	337	1605	1655	1299	1349
1680	1374	1700,1350	370	1655	1705	1349	1399
1730	1424	1750,1400	404	1705	1755	1399	1449
1780	1474	1800,1450	439	1755	1805	1449	1499
1830	1524	1850,1500	476	1805	1855	1499	1549
1880	1574	1900,1550	513	1855	1905	1549	1599
1930	1624	1950,1600	551	1905	1955	1599	1649
1980	1674	2000,1650	593	1955	2005	1649	1699
2030	1724	2050,1700	633	2005	2055	1699	1749
2080	1774	2100,1750	672	2055	2105	1749	1799
380	24	400,0	1372	355	405	-1	49
480	124	500,100	1388	455	505	99	149
580	224	600,200	1409	555	605	199	249
680	324	700,300	1434	655	705	299	349
780	424	800,400	1463	755	805	399	449
880	524	900,500	1497	855	905	499	549
980	624	1000,600	14	955	1005	599	649
1080	724	1100,700	56	1055	1105	699	749
1180	824	1200,800	103	1155	1205	799	849
1280	924	1300,900	154	1255	1305	899	949
1380	1024	1400,1000	184	1355	1405	999	1049
1480	1124	1500,1100	243	1455	1505	1099	1149
1580	1224	1600,1200	304	1555	1605	1199	1249
1680	1324	1700,1300	369	1655	1705	1299	1349
1780	1424	1800,1400	438	1755	1805	1399	1449
1880	1524	1900,1500	512	1855	1905	1499	1549
1980	1624	2000,1600	592	1955	2005	1599	1649
2080	1724	2100,1700	671	2055	2105	1699	1749
430	74	450,50	1386	405	455	49	99
530	174	550,150	1398	505	555	149	199
630	274	650,250	1421	605	655	249	299
730	374	750,350	1448	705	755	349	399
830	474	850,450	1479	805	855	449	499
930	574	950,550	1515	905	955	549	599
1030	674	1050,650	34	1005	1055	649	699
1130	774	1150,750	79	1105	1155	749	799
1230	874	1250,850	128	1205	1255	849	899
1330	974	1350,950	181	1305	1355	949	999
1430	1074	1450,1050	212	1405	1455	1049	1099
1530	1174	1550,1150	273	1505	1555	1149	1199
1630	1274	1650,1250	336	1605	1655	1249	1299
1730	1374	1750,1350	403	1705	1755	1349	1399
1830	1474	1850,1450	474	1805	1855	1449	1499
1930	1574	1950,1550	550	1905	1955	1549	1599
2030	1674	2050,1650	632	2005	2055	1649	1699
2130	1774	2150,1750	709	2105	2155	1749	1799
430	24	450,0	1379	405	455	-1	49
480	74	500,50	1395	455	505	49	99
530	124	550,100	1397	505	555	99	149
580	174	600,150	1408	555	605	149	199
630	224	650,200	1420	605	655	199	249
680	274	700,250	1433	655	705	249	299
730	324	750,300	1447	705	755	299	349
780	374	800,350	1462	755	805	349	399
830	424	850,400	1478	805	855	399	449
880	474	900,450	1495	855	905	449	499
930	524	950,500	1514	905	955	499	549
980	574	1000,550	13	955	1005	549	599
1030	624	1050,600	33	1005	1055	599	649
1080	674	1100,650	55	1055	1105	649	699
1130	724	1150,700	78	1105	1155	699	749
1180	774	1200,750	102	1155	1205	749	799
1230	824	1250,800	127	1205	1255	799	849
1280	874	1300,850	153	1255	1305	849	899
1330	924	1350,900	180	1305	1355	899	949
1380	974	1400,950	208	1355	1405	949	999
1430	1024	1450,1000	211	1405	1455	999	1049
1480	1074	1500,1050	242	1455	1505	1049	1099
1530	1124	1550,1100	272	1505	1555	1099	1149
1580	1174	1600,1150	303	1555	1605	1149	1199
1630	1224	1650,1200	335	1605	1655	1199	1249
1680	1274	1700,1250	368	1655	1705	1249	1299
1730	1324	1750,1300	402	1705	1755	1299	1349
1780	1374	1800,1350	437	1755	1805	1349	1399
1830	1424	1850,1400	473	1805	1855	1399	1449
1880	1474	1900,1450	510	1855	1905	1449	1499
1930	1524	1950,1500	549	1905	1955	1499	1549
1980	1574	2000,1550	591	1955	2005	1549	1599
2030	1624	2050,1600	631	2005	2055	1599	1649
2080	1674	2100,1650	670	2055	2105	1649	1699
2130	1724	2150,1700	708	2105	2155	1699	1749
480	24	500,0	1387	455	505	-1	49
580	124	600,100	1407	555	605	99	149
680	224	700,200	1432	655	705	199	249
780	324	800,300	1461	755	805	299	349
880	424	900,400	1494	855	905	399	449
980	524	1000,500	12	955	1005	499	549
1080	624	1100,600	54	1055	1105	599	649
1180	724	1200,700	101	1155	1205	699	749
1280	824	1300,800	152	1255	1305	799	849
1380	924	1400,900	207	1355	1405	899	949
1480	1024	1500,1000	241	1455	1505	999	1049
1580	1124	1600,1100	302	1555	1605	1099	1149
1680	1224	1700,1200	367	1655	1705	1199	1249
1780	1324	1800,1300	436	1755	1805	1299	1349
1880	1424	1900,1400	509	1855	1905	1399	1449
1980	1524	2000,1500	590	1955	2005	1499	1549
2080	1624	2100,1600	669	2055	2105	1599	1649
530	74	550,50	1405	505	555	49	99
630	174	650,150	1419	605	655	149	199
730	274	750,250	1446	705	755	249	299
830	374	850,350	1477	805	855	349	399
930	474	950,450	1512	905	955	449	499
1030	574	1050,550	32	1005	1055	549	599
1130	674	1150,650	77	1105	1155	649	699
1230	774	1250,750	126	1205	1255	749	799
1330	874	1350,850	179	1305	1355	849	899
1430	974	1450,950	236	1405	1455	949	999
1530	1074	1550,1050	271	1505	1555	1049	1099
1630	1174	1650,1150	334	1605	1655	1149	1199
1730	1274	1750,1250	401	1705	1755	1249	1299
1830	1374	1850,1350	472	1805	1855	1349	1399
1930	1474	1950,1450	547	1905	1955	1449	1499
2030	1574	2050,1550	630	2005	2055	1549	1599
2130	1674	2150,1650	707	2105	2155	1649	1699
2180	1724	2200,1700	744	2155	2205	1699	1749
530	24	550,0	1396	505	555	-1	49
580	74	600,50	1415	555	605	49	99
630	124	650,100	1418	605	655	99	149
680	174	700,150	1431	655	705	149	199
730	224	750,200	1445	705	755	199	249
780	274	800,250	1460	755	805	249	299
830	324	850,300	1476	805	855	299	349
880	374	900,350	1493	855	905	349	399
930	424	950,400	1511	905	955	399	449
980	474	1000,450	10	955	1005	449	499
1030	524	1050,500	31	1005	1055	499	549
1080	574	1100,550	53	1055	1105	549	599
1130	624	1150,600	76	1105	1155	599	649
1180	674	1200,650	100	1155	1205	649	699
1230	724	1250,700	125	1205	1255	699	749
1280	774	1300,750	151	1255	1305	749	799
1330	824	1350,800	178	1305	1355	799	849
1380	874	1400,850	206	1355	1405	849	899
1430	924	1450,900	235	1405	1455	899	949
1480	974	1500,950	267	1455	1505	949	999
1530	1024	1550,1000	270	1505	1555	999	1049
1580	1074	1600,1050	301	1555	1605	1049	1099
1630	1124	1650,1100	333	1605	1655	1099	1149
1680	1174	1700,1150	366	1655	1705	1149	1199
1730	1224	1750,1200	400	1705	1755	1199	1249
1780	1274	1800,1250	435	1755	1805	1249	1299
1830	1324	1850,1300	471	1805	1855	1299	1349
1880	1374	1900,1350	508	1855	1905	1349	1399
1930	1424	1950,1400	546	1905	1955	1399	1449
1980	1474	2000,1450	588	1955	2005	1449	1499
2030	1524	2050,1500	629	2005	2055	1499	1549
2080	1574	2100,1550	668	2055	2105	1549	1599
2130	1624	2150,1600	706	2105	2155	1599	1649
2180	1674	2200,1650	743	2155	2205	1649	1699
580	24	600,0	1406	555	605	-1	49
680	124	700,100	1430	655	705	99	149
780	224	800,200	1459	755	805	199	249
880	324	900,300	1492	855	905	299	349
980	424	1000,400	9	955	1005	399	449
1080	524	1100,500	52	1055	1105	499	549
1180	624	1200,600	99	1155	1205	599	649
1280	724	1300,700	150	1255	1305	699	749
1380	824	1400,800	205	1355	1405	799	849
1480	924	1500,900	266	1455	1505	899	949
1580	1024	1600,1000	300	1555	1605	999	1049
1680	1124	1700,1100	365	1655	1705	1099	1149
1780	1224	1800,1200	434	1755	1805	1199	1249
1880	1324	1900,1300	507	1855	1905	1299	1349
1980	1424	2000,1400	587	1955	2005	1399	1449
2080	1524	2100,1500	667	2055	2105	1499	1549
2180	1624	2200,1600	742	2155	2205	1599	1649
630	74	650,50	1426	605	655	49	99
730	174	750,150	1444	705	755	149	199
830	274	850,250	1475	805	855	249	299
930	374	950,350	1510	905	955	349	399
1030	474	1050,450	29	1005	1055	449	499
1130	574	1150,550	75	1105	1155	549	599
1230	674	1250,650	124	1205	1255	649	699
1330	774	1350,750	177	1305	1355	749	799
1430	874	1450,850	234	1405	1455	849	899
1530	974	1550,950	297	1505	1555	949	999
1630	1074	1650,1050	332	1605	1655	1049	1099
1730	1174	1750,1150	399	1705	1755	1149	1199
1830	1274	1850,1250	470	1805	1855	1249	1299
1930	1374	1950,1350	545	1905	1955	1349	1399
2030	1474	2050,1450	627	2005	2055	1449	1499
2130	1574	2150,1550	705	2105	2155	1549	1599
2230	1674	2250,1650	778	2205	2255	1649	1699
630	24	650,0	1417	605	655	-1	49
680	74	700,50	1438	655	705	49	99
730	124	750,100	1443	705	755	99	149
780	174	800,150	1458	755	805	149	199
830	224	850,200	1474	805	855	199	249
880	274	900,250	1491	855	905	249	299
930	324	950,300	1509	905	955	299	349
980	374	1000,350	8	955	1005	349	399
1030	424	1050,400	28	1005	1055	399	449
1080	474	1100,450	50	1055	1105	449	499
1130	524	1150,500	74	1105	1155	499	549
1180	574	1200,550	98	1155	1205	549	599
1230	624	1250,600	123	1205	1255	599	649
1280	674	1300,650	149	1255	1305	649	699
1330	724	1350,700	176	1305	1355	699	749
1380	774	1400,750	204	1355	1405	749	799
1430	824	1450,800	233	1405	1455	799	849
1480	874	1500,850	265	1455	1505	849	899
1530	924	1550,900	296	1505	1555	899	949
1580	974	1600,950	328	1555	1605	949	999
1630	1024	1650,1000	331	1605	1655	999	1049
1680	1074	1700,1050	364	1655	1705	1049	1099
1730	1124	1750,1100	398	1705	1755	1099	1149
1780	1174	1800,1150	433	1755	1805	1149	1199
1830	1224	1850,1200	469	1805	1855	1199	1249
1880	1274	1900,1250	506	1855	1905	1249	1299
1930	1324	1950,1300	544	1905	1955	1299	1349
1980	1374	2000,1350	586	1955	2005	1349	1399
2030	1424	2050,1400	626	2005	2055	1399	1449
2080	1474	2100,1450	665	2055	2105	1449	1499
2130	1524	2150,1500	704	2105	2155	1499	1549
2230	1624	2250,1600	777	2205	2255	1599	1649
2180	1574	2200,1550	741	2155	2205	1549	1599
680	24	700,0	1429	655	705	-1	49
780	124	800,100	1457	755	805	99	149
880	224	900,200	1490	855	905	199	249
980	324	1000,300	7	955	1005	299	349
1080	424	1100,400	49	1055	1105	399	449
1180	524	1200,500	97	1155	1205	499	549
1280	624	1300,600	148	1255	1305	599	649
1380	724	1400,700	203	1355	1405	699	749
1480	824	1500,800	264	1455	1505	799	849
1580	924	1600,900	327	1555	1605	899	949
1780	1124	1800,1100	432	1755	1805	1099	1149
1880	1224	1900,1200	505	1855	1905	1199	1249
1980	1324	2000,1300	585	1955	2005	1299	1349
730	74	750,50	1451	705	755	49	99
830	174	850,150	1473	805	855	149	199
930	274	950,250	1508	905	955	249	299
1030	374	1050,350	27	1005	1055	349	399
1130	474	1150,450	72	1105	1155	449	499
1230	574	1250,550	122	1205	1255	549	599
1330	674	1350,650	175	1305	1355	649	699
1530	874	1550,850	295	1505	1555	849	899
1630	974	1650,950	360	1605	1655	949	999
1680	1024	1700,1000	363	1655	1705	999	1049
1730	1074	1750,1050	397	1705	1755	1049	1099
1830	1174	1850,1150	468	1805	1855	1149	1199
1930	1274	1950,1250	543	1905	1955	1249	1299
2080	1424	2100,1400	664	2055	2105	1399	1449
2130	1474	2150,1450	702	2105	2155	1449	1499
2180	1524	2200,1500	740	2155	2205	1499	1549
2230	1574	2250,1550	776	2205	2255	1549	1599
1430	774	1450,750	232	1405	1455	749	799
2030	1374	2050,1350	625	2005	2055	1349	1399
2280	1624	2300,1600	811	2255	2305	1599	1649
730	24	750,0	1442	705	755	-1	49
780	74	800,50	1465	755	805	49	99
830	124	850,100	1472	805	855	99	149
880	174	900,150	1489	855	905	149	199
930	224	950,200	1507	905	955	199	249
980	274	1000,250	6	955	1005	249	299
1030	324	1050,300	26	1005	1055	299	349
1080	374	1100,350	48	1055	1105	349	399
1130	424	1150,400	71	1105	1155	399	449
1180	474	1200,450	95	1155	1205	449	499
1230	524	1250,500	121	1205	1255	499	549
1280	574	1300,550	147	1255	1305	549	599
1330	624	1350,600	174	1305	1355	599	649
1380	674	1400,650	202	1355	1405	649	699
1430	724	1450,700	231	1405	1455	699	749
1480	774	1500,750	263	1455	1505	749	799
1530	824	1550,800	294	1505	1555	799	849
1580	874	1600,850	326	1555	1605	849	899
1630	924	1650,900	359	1605	1655	899	949
1680	974	1700,950	393	1655	1705	949	999
1730	1024	1750,1000	396	1705	1755	999	1049
1780	1074	1800,1050	431	1755	1805	1049	1099
1830	1124	1850,1100	467	1805	1855	1099	1149
1880	1174	1900,1150	504	1855	1905	1149	1199
1930	1224	1950,1200	542	1905	1955	1199	1249
1980	1274	2000,1250	584	1955	2005	1249	1299
2030	1324	2050,1300	624	2005	2055	1299	1349
2080	1374	2100,1350	663	2055	2105	1349	1399
2130	1424	2150,1400	701	2105	2155	1399	1449
2180	1474	2200,1450	738	2155	2205	1449	1499
2230	1524	2250,1500	775	2205	2255	1499	1549
2280	1574	2300,1550	810	2255	2305	1549	1599
780	24	800,0	1456	755	805	-1	49
880	124	900,100	1488	855	905	99	149
980	224	1000,200	5	955	1005	199	249
1080	324	1100,300	47	1055	1105	299	349
1180	424	1200,400	94	1155	1205	399	449
1280	524	1300,500	146	1255	1305	499	549
1380	624	1400,600	201	1355	1405	599	649
1480	724	1500,700	262	1455	1505	699	749
1580	824	1600,800	325	1555	1605	799	849
1680	924	1700,900	392	1655	1705	899	949
1780	1024	1800,1000	430	1755	1805	999	1049
1880	1124	1900,1100	503	1855	1905	1099	1149
1980	1224	2000,1200	583	1955	2005	1199	1249
2080	1324	2100,1300	662	2055	2105	1299	1349
2180	1424	2200,1400	737	2155	2205	1399	1449
2280	1524	2300,1500	809	2255	2305	1499	1549
830	74	850,50	1480	805	855	49	99
930	174	950,150	1506	905	955	149	199
1030	274	1050,250	25	1005	1055	249	299
1130	374	1150,350	70	1105	1155	349	399
1230	474	1250,450	119	1205	1255	449	499
1330	574	1350,550	173	1305	1355	549	599
1430	674	1450,650	230	1405	1455	649	699
1530	774	1550,750	293	1505	1555	749	799
1630	874	1650,850	358	1605	1655	849	899
1730	974	1750,950	427	1705	1755	949	999
1830	1074	1850,1050	466	1805	1855	1049	1099
1930	1174	1950,1150	541	1905	1955	1149	1199
2030	1274	2050,1250	623	2005	2055	1249	1299
2130	1374	2150,1350	700	2105	2155	1349	1399
2230	1474	2250,1450	773	2205	2255	1449	1499
2330	1574	2350,1550	843	2305	2355	1549	1599
830	24	850,0	1471	805	855	-1	49
880	74	900,50	1496	855	905	49	99
930	124	950,100	1505	905	955	99	149
980	174	1000,150	4	955	1005	149	199
1030	224	1050,200	24	1005	1055	199	249
1080	274	1100,250	46	1055	1105	249	299
1130	324	1150,300	69	1105	1155	299	349
1180	374	1200,350	93	1155	1205	349	399
1230	424	1250,400	118	1205	1255	399	449
1280	474	1300,450	144	1255	1305	449	499
1330	524	1350,500	172	1305	1355	499	549
1380	574	1400,550	200	1355	1405	549	599
1430	624	1450,600	229	1405	1455	599	649
1480	674	1500,650	261	1455	1505	649	699
1530	724	1550,700	292	1505	1555	699	749
1580	774	1600,750	324	1555	1605	749	799
1630	824	1650,800	357	1605	1655	799	849
1680	874	1700,850	391	1655	1705	849	899
1730	924	1750,900	426	1705	1755	899	949
1780	974	1800,950	462	1755	1805	949	999
1830	1024	1850,1000	465	1805	1855	999	1049
1880	1074	1900,1050	502	1855	1905	1049	1099
1930	1124	1950,1100	540	1905	1955	1099	1149
1980	1174	2000,1150	582	1955	2005	1149	1199
2030	1224	2050,1200	622	2005	2055	1199	1249
2080	1274	2100,1250	661	2055	2105	1249	1299
2130	1324	2150,1300	699	2105	2155	1299	1349
2180	1374	2200,1350	736	2155	2205	1349	1399
2230	1424	2250,1400	772	2205	2255	1399	1449
2280	1474	2300,1450	807	2255	2305	1449	1499
2330	1524	2350,1500	842	2305	2355	1499	1549
880	24	900,0	1487	855	905	-1	49
980	124	1000,100	3	955	1005	99	149
1080	224	1100,200	45	1055	1105	199	249
1180	324	1200,300	92	1155	1205	299	349
1280	424	1300,400	143	1255	1305	399	449
1380	524	1400,500	199	1355	1405	499	549
1480	624	1500,600	260	1455	1505	599	649
1580	724	1600,700	323	1555	1605	699	749
1680	824	1700,800	390	1655	1705	799	849
1780	924	1800,900	461	1755	1805	899	949
1880	1024	1900,1000	501	1855	1905	999	1049
1980	1124	2000,1100	581	1955	2005	1099	1149
2080	1224	2100,1200	660	2055	2105	1199	1249
2180	1324	2200,1300	735	2155	2205	1299	1349
2280	1424	2300,1400	806	2255	2305	1399	1449
930	74	950,50	1513	905	955	49	99
1030	174	1050,150	23	1005	1055	149	199
1130	274	1150,250	68	1105	1155	249	299
1230	374	1250,350	117	1205	1255	349	399
1330	474	1350,450	170	1305	1355	449	499
1430	574	1450,550	228	1405	1455	549	599
1530	674	1550,650	291	1505	1555	649	699
1630	774	1650,750	356	1605	1655	749	799
1730	874	1750,850	425	1705	1755	849	899
1830	974	1850,950	498	1805	1855	949	999
2030	1174	2050,1150	621	2005	2055	1149	1199
2130	1274	2150,1250	698	2105	2155	1249	1299
2230	1374	2250,1350	771	2205	2255	1349	1399
2330	1474	2350,1450	840	2305	2355	1449	1499
1930	1074	1950,1050	539	1905	1955	1049	1099
2380	1524	2400,1500	874	2355	2405	1499	1549
930	24	950,0	1504	905	955	-1	49
980	74	1000,50	11	955	1005	49	99
1030	124	1050,100	22	1005	1055	99	149
1080	174	1100,150	44	1055	1105	149	199
1130	224	1150,200	67	1105	1155	199	249
1180	274	1200,250	91	1155	1205	249	299
1230	324	1250,300	116	1205	1255	299	349
1280	374	1300,350	142	1255	1305	349	399
1330	424	1350,400	169	1305	1355	399	449
1380	474	1400,450	197	1355	1405	449	499
1430	524	1450,500	227	1405	1455	499	549
1480	574	1500,550	259	1455	1505	549	599
1530	624	1550,600	290	1505	1555	599	649
1580	674	1600,650	322	1555	1605	649	699
1630	724	1650,700	355	1605	1655	699	749
1680	774	1700,750	389	1655	1705	749	799
1730	824	1750,800	424	1705	1755	799	849
1780	874	1800,850	460	1755	1805	849	899
1830	924	1850,900	497	1805	1855	899	949
1880	974	1900,950	535	1855	1905	949	999
1930	1024	1950,1000	538	1905	1955	999	1049
1980	1074	2000,1050	580	1955	2005	1049	1099
