x	y	group	showSelected1
80.25	17.75	26	3547
77.75	15.25	26	3547
77.75	14.75	26	3547
78.25	14.25	26	3547
78.25	13.25	26	3547
78.75	13.25	26	3547
81.25	15.75	26	3547
81.75	15.75	26	3547
85.75	11.75	26	3547
86.75	11.75	26	3547
86.75	10.75	26	3547
90.25	7.25	26	3547
91.25	7.25	26	3547
93.75	4.75	26	3547
93.75	4.25	26	3547
93.25	4.25	26	3547
92.25	5.25	26	3547
91.75	5.25	26	3547
91.75	4.75	26	3547
92.25	4.25	26	3547
92.25	3.75	26	3547
90.25	1.75	26	3547
89.75	1.75	26	3547
89.25	2.25	26	3547
88.25	2.25	26	3547
78.25	12.25	26	3547
77.75	12.25	26	3547
72.75	7.25	26	3547
72.25	7.25	26	3547
71.25	8.25	26	3547
71.25	8.75	26	3547
76.25	13.75	26	3547
76.25	14.25	26	3547
80.25	18.25	3	1722
80.25	18.75	3	1722
93.75	32.25	3	1722
94.25	32.25	3	1722
94.25	31.75	3	1722
93.75	31.25	3	1722
93.75	30.75	3	1722
94.75	30.75	3	1722
94.75	29.75	3	1722
95.25	29.75	3	1722
95.75	30.25	3	1722
96.25	30.25	3	1722
96.25	29.75	3	1722
95.75	29.25	3	1722
95.75	28.75	3	1722
96.25	28.75	3	1722
96.75	29.25	3	1722
97.25	29.25	3	1722
97.75	28.75	3	1722
97.75	27.75	3	1722
99.75	25.75	3	1722
99.75	25.25	3	1722
99.25	25.25	3	1722
98.75	25.75	3	1722
97.75	25.75	3	1722
97.75	26.75	3	1722
96.25	26.75	3	1722
96.25	26.25	3	1722
97.75	24.75	3	1722
97.75	24.25	3	1722
97.25	24.25	3	1722
95.25	26.25	3	1722
94.25	26.25	3	1722
93.75	26.75	3	1722
93.75	27.75	3	1722
93.25	27.75	3	1722
86.75	21.25	3	1722
86.75	20.75	3	1722
88.75	18.75	3	1722
88.75	18.25	3	1722
88.25	17.75	3	1722
87.75	17.75	3	1722
87.25	18.25	3	1722
86.75	18.25	3	1722
86.75	17.75	3	1722
87.25	17.25	3	1722
87.25	16.75	3	1722
85.75	16.75	3	1722
85.25	17.25	3	1722
84.25	17.25	3	1722
84.25	18.25	3	1722
83.75	18.25	3	1722
78.75	13.25	3	1722
78.25	13.25	3	1722
78.25	14.25	3	1722
77.75	14.75	3	1722
77.75	15.25	3	1722
80.25	17.75	3	1722
80.25	18.25	3	1722
94.25	32.25	33	3974
94.25	32.75	33	3974
96.75	35.25	33	3974
97.25	35.25	33	3974
97.25	34.75	33	3974
96.75	34.25	33	3974
96.75	32.75	33	3974
97.25	32.25	33	3974
97.75	32.25	33	3974
102.25	36.75	33	3974
102.75	36.75	33	3974
103.25	36.25	33	3974
104.25	36.25	33	3974
104.25	35.25	33	3974
104.75	34.75	33	3974
104.75	33.75	33	3974
107.75	33.75	33	3974
110.75	30.75	33	3974
111.25	30.75	33	3974
112.25	31.75	33	3974
112.75	31.75	33	3974
112.75	30.25	33	3974
111.75	30.25	33	3974
111.75	29.75	33	3974
115.25	26.25	33	3974
115.25	25.75	33	3974
113.75	24.25	33	3974
113.75	23.75	33	3974
114.25	23.25	33	3974
114.25	22.75	33	3974
113.75	22.25	33	3974
113.25	22.25	33	3974
112.75	22.75	33	3974
112.25	22.75	33	3974
110.25	20.75	33	3974
109.75	20.75	33	3974
108.75	21.75	33	3974
107.75	21.75	33	3974
107.75	22.75	33	3974
106.75	22.75	33	3974
106.25	23.25	33	3974
106.25	24.75	33	3974
107.75	26.25	33	3974
107.75	26.75	33	3974
107.25	26.75	33	3974
103.75	23.25	33	3974
103.25	23.25	33	3974
101.75	24.75	33	3974
101.75	25.25	33	3974
103.25	26.75	33	3974
103.25	28.25	33	3974
102.75	28.25	33	3974
101.75	27.25	33	3974
101.25	27.25	33	3974
100.75	27.75	33	3974
100.25	27.75	33	3974
99.75	27.25	33	3974
99.25	27.25	33	3974
97.25	29.25	33	3974
96.75	29.25	33	3974
96.25	28.75	33	3974
95.75	28.75	33	3974
95.75	29.25	33	3974
96.25	29.75	33	3974
96.25	30.25	33	3974
95.75	30.25	33	3974
95.25	29.75	33	3974
94.75	29.75	33	3974
94.75	30.75	33	3974
93.75	30.75	33	3974
93.75	31.25	33	3974
94.25	31.75	33	3974
94.25	32.25	33	3974
97.25	35.25	13	2576
97.25	35.75	13	2576
104.25	42.75	13	2576
104.75	42.75	13	2576
104.75	42.25	13	2576
102.25	39.75	13	2576
102.25	39.25	13	2576
103.25	38.25	13	2576
103.75	38.25	13	2576
105.25	39.75	13	2576
105.75	39.75	13	2576
105.75	39.25	13	2576
105.25	38.75	13	2576
105.25	38.25	13	2576
105.75	38.25	13	2576
106.25	38.75	13	2576
106.75	38.75	13	2576
107.25	38.25	13	2576
107.75	38.25	13	2576
109.25	39.75	13	2576
109.25	40.25	13	2576
108.75	40.75	13	2576
108.25	40.75	13	2576
107.75	40.25	13	2576
107.25	40.25	13	2576
107.25	40.75	13	2576
107.75	41.25	13	2576
107.75	42.25	13	2576
108.25	42.75	13	2576
108.75	42.75	13	2576
111.75	39.75	13	2576
112.75	39.75	13	2576
113.25	39.25	13	2576
113.75	39.25	13	2576
114.75	40.25	13	2576
115.25	40.25	13	2576
115.75	39.75	13	2576
115.75	39.25	13	2576
115.25	38.75	13	2576
115.25	38.25	13	2576
116.75	36.75	13	2576
117.75	36.75	13	2576
117.75	34.75	13	2576
118.75	34.75	13	2576
119.25	34.25	13	2576
119.25	33.25	13	2576
119.75	32.75	13	2576
120.75	32.75	13	2576
122.25	31.25	13	2576
122.25	30.25	13	2576
123.25	30.25	13	2576
124.25	29.25	13	2576
124.25	28.25	13	2576
125.25	28.25	13	2576
126.75	26.75	13	2576
127.75	26.75	13	2576
127.75	25.75	13	2576
128.25	25.25	13	2576
128.25	24.75	13	2576
127.25	23.75	13	2576
126.75	23.75	13	2576
126.75	24.25	13	2576
127.25	24.75	13	2576
127.25	25.25	13	2576
126.25	26.25	13	2576
125.25	26.25	13	2576
124.25	27.25	13	2576
123.75	27.25	13	2576
122.75	26.25	13	2576
122.25	26.25	13	2576
121.75	26.75	13	2576
121.25	26.75	13	2576
120.75	26.25	13	2576
120.25	26.25	13	2576
119.75	26.75	13	2576
119.75	27.25	13	2576
120.25	27.75	13	2576
120.25	28.25	13	2576
119.75	28.25	13	2576
119.25	27.75	13	2576
117.25	27.75	13	2576
117.25	26.75	13	2576
116.75	26.75	13	2576
116.25	27.25	13	2576
115.75	27.25	13	2576
115.75	26.25	13	2576
115.25	26.25	13	2576
111.75	29.75	13	2576
111.75	30.25	13	2576
112.75	30.25	13	2576
112.75	31.75	13	2576
112.25	31.75	13	2576
111.25	30.75	13	2576
110.75	30.75	13	2576
107.75	33.75	13	2576
104.75	33.75	13	2576
104.75	34.75	13	2576
104.25	35.25	13	2576
104.25	36.25	13	2576
103.25	36.25	13	2576
102.75	36.75	13	2576
102.25	36.75	13	2576
97.75	32.25	13	2576
97.25	32.25	13	2576
96.75	32.75	13	2576
96.75	34.25	13	2576
97.25	34.75	13	2576
97.25	35.25	13	2576
104.75	42.75	16	2875
104.75	43.25	16	2875
110.25	48.75	16	2875
110.75	48.75	16	2875
112.25	47.25	16	2875
112.75	47.25	16	2875
113.25	47.75	16	2875
114.25	47.75	16	2875
114.25	48.75	16	2875
115.75	48.75	16	2875
115.75	48.25	16	2875
115.25	47.75	16	2875
115.25	47.25	16	2875
117.25	47.25	16	2875
117.75	46.75	16	2875
118.75	46.75	16	2875
119.25	46.25	16	2875
119.25	45.75	16	2875
118.75	45.25	16	2875
118.75	44.75	16	2875
119.75	44.75	16	2875
119.75	43.75	16	2875
121.25	43.75	16	2875
122.25	44.75	16	2875
122.75	44.75	16	2875
125.75	41.75	16	2875
126.75	41.75	16	2875
127.25	41.25	16	2875
127.25	40.25	16	2875
131.25	36.25	16	2875
131.25	35.75	16	2875
130.75	35.25	16	2875
130.25	35.25	16	2875
129.75	35.75	16	2875
129.25	35.75	16	2875
128.75	35.25	16	2875
128.25	35.25	16	2875
128.25	36.25	16	2875
127.75	36.75	16	2875
127.75	37.75	16	2875
126.75	37.75	16	2875
126.25	38.25	16	2875
126.25	39.25	16	2875
125.25	39.25	16	2875
125.25	40.25	16	2875
124.75	40.25	16	2875
124.25	39.75	16	2875
124.25	38.75	16	2875
123.75	38.25	16	2875
123.75	37.75	16	2875
124.25	37.75	16	2875
124.75	38.25	16	2875
125.25	38.25	16	2875
125.25	37.75	16	2875
123.75	36.25	16	2875
123.25	36.25	16	2875
121.25	38.25	16	2875
120.25	38.25	16	2875
120.25	39.25	16	2875
118.25	39.25	16	2875
117.75	39.75	16	2875
117.75	40.75	16	2875
117.25	41.25	16	2875
117.25	42.25	16	2875
116.25	43.25	16	2875
115.75	43.25	16	2875
114.75	42.25	16	2875
114.75	41.75	16	2875
125.75	30.75	16	2875
126.75	30.75	16	2875
126.75	29.75	16	2875
127.75	29.75	16	2875
127.75	28.75	16	2875
130.75	25.75	16	2875
130.75	24.75	16	2875
131.25	24.25	16	2875
131.25	23.75	16	2875
130.25	22.75	16	2875
129.75	22.75	16	2875
129.75	23.75	16	2875
129.25	24.25	16	2875
128.75	24.25	16	2875
128.25	23.75	16	2875
127.75	23.75	16	2875
127.75	24.25	16	2875
128.25	24.75	16	2875
128.25	25.25	16	2875
127.75	25.75	16	2875
127.75	26.75	16	2875
126.75	26.75	16	2875
125.25	28.25	16	2875
124.25	28.25	16	2875
124.25	29.25	16	2875
123.25	30.25	16	2875
122.25	30.25	16	2875
122.25	31.25	16	2875
120.75	32.75	16	2875
119.75	32.75	16	2875
119.25	33.25	16	2875
119.25	34.25	16	2875
118.75	34.75	16	2875
117.75	34.75	16	2875
117.75	36.75	16	2875
116.75	36.75	16	2875
115.25	38.25	16	2875
115.25	38.75	16	2875
115.75	39.25	16	2875
115.75	39.75	16	2875
115.25	40.25	16	2875
114.75	40.25	16	2875
113.75	39.25	16	2875
113.25	39.25	16	2875
112.75	39.75	16	2875
111.75	39.75	16	2875
108.75	42.75	16	2875
108.25	42.75	16	2875
107.75	42.25	16	2875
107.75	41.25	16	2875
107.25	40.75	16	2875
107.25	40.25	16	2875
107.75	40.25	16	2875
108.25	40.75	16	2875
108.75	40.75	16	2875
109.25	40.25	16	2875
109.25	39.75	16	2875
107.75	38.25	16	2875
107.25	38.25	16	2875
106.75	38.75	16	2875
106.25	38.75	16	2875
105.75	38.25	16	2875
105.25	38.25	16	2875
105.25	38.75	16	2875
105.75	39.25	16	2875
105.75	39.75	16	2875
105.25	39.75	16	2875
103.75	38.25	16	2875
103.25	38.25	16	2875
102.25	39.25	16	2875
102.25	39.75	16	2875
104.75	42.25	16	2875
104.75	42.75	16	2875
110.75	48.75	17	3008
110.75	49.25	17	3008
124.25	62.75	17	3008
124.75	62.75	17	3008
126.75	60.75	17	3008
127.75	60.75	17	3008
128.75	59.75	17	3008
128.75	58.25	17	3008
126.75	58.25	17	3008
126.75	57.75	17	3008
127.25	57.25	17	3008
128.75	57.25	17	3008
129.25	57.75	17	3008
129.75	57.75	17	3008
130.25	57.25	17	3008
130.25	56.75	17	3008
129.25	56.75	17	3008
128.75	56.25	17	3008
128.75	54.25	17	3008
128.25	54.25	17	3008
126.75	55.75	17	3008
126.25	55.75	17	3008
125.75	55.25	17	3008
125.25	55.25	17	3008
124.25	56.25	17	3008
123.75	56.25	17	3008
123.75	55.75	17	3008
124.25	55.25	17	3008
124.25	54.75	17	3008
123.75	54.25	17	3008
123.75	53.75	17	3008
125.25	52.25	17	3008
125.75	52.25	17	3008
126.25	52.75	17	3008
126.75	52.75	17	3008
127.25	52.25	17	3008
127.25	51.75	17	3008
126.75	51.25	17	3008
126.75	50.75	17	3008
127.75	49.75	17	3008
127.75	48.75	17	3008
128.25	48.25	17	3008
129.25	48.25	17	3008
130.75	46.75	17	3008
131.75	46.75	17	3008
132.75	45.75	17	3008
132.75	44.75	17	3008
136.75	40.75	17	3008
136.75	39.75	17	3008
139.25	37.25	17	3008
140.25	37.25	17	3008
141.75	35.75	17	3008
142.25	35.75	17	3008
142.75	36.25	17	3008
143.25	36.25	17	3008
143.25	35.75	17	3008
142.75	35.25	17	3008
142.75	34.75	17	3008
143.25	34.25	17	3008
143.25	33.25	17	3008
144.25	33.25	17	3008
144.25	32.25	17	3008
146.25	30.25	17	3008
147.25	30.25	17	3008
147.25	29.25	17	3008
148.25	28.25	17	3008
148.25	27.75	17	3008
147.75	27.75	17	3008
142.25	33.25	17	3008
141.25	33.25	17	3008
139.75	34.75	17	3008
139.25	34.75	17	3008
137.75	33.25	17	3008
137.25	33.25	17	3008
137.25	33.75	17	3008
138.25	34.75	17	3008
138.25	36.25	17	3008
133.75	40.75	17	3008
132.75	40.75	17	3008
132.75	41.75	17	3008
131.75	42.75	17	3008
130.75	42.75	17	3008
130.25	43.25	17	3008
129.75	43.25	17	3008
129.25	42.75	17	3008
128.75	42.75	17	3008
128.25	43.25	17	3008
128.25	43.75	17	3008
129.25	43.75	17	3008
129.75	44.25	17	3008
129.75	44.75	17	3008
128.75	45.75	17	3008
127.75	45.75	17	3008
127.75	46.75	17	3008
126.75	46.75	17	3008
126.75	47.75	17	3008
126.25	48.25	17	3008
126.25	49.25	17	3008
125.25	49.25	17	3008
124.75	49.75	17	3008
123.75	49.75	17	3008
122.25	51.25	17	3008
122.25	52.25	17	3008
120.25	54.25	17	3008
119.75	54.25	17	3008
118.25	52.75	17	3008
117.75	52.75	17	3008
117.75	53.75	17	3008
117.25	53.75	17	3008
116.25	52.75	17	3008
116.25	51.25	17	3008
122.25	45.25	17	3008
122.25	44.75	17	3008
121.25	43.75	17	3008
119.75	43.75	17	3008
119.75	44.75	17	3008
118.75	44.75	17	3008
118.75	45.25	17	3008
119.25	45.75	17	3008
119.25	46.25	17	3008
118.75	46.75	17	3008
117.75	46.75	17	3008
117.25	47.25	17	3008
115.25	47.25	17	3008
115.25	47.75	17	3008
115.75	48.25	17	3008
115.75	48.75	17	3008
114.25	48.75	17	3008
114.25	47.75	17	3008
113.25	47.75	17	3008
112.75	47.25	17	3008
112.25	47.25	17	3008
110.75	48.75	17	3008
124.75	62.75	41	4665
124.75	63.25	41	4665
126.75	65.25	41	4665
127.25	65.25	41	4665
127.25	64.75	41	4665
126.75	64.25	41	4665
126.75	63.75	41	4665
127.75	63.75	41	4665
127.75	62.75	41	4665
128.25	62.25	41	4665
128.75	62.25	41	4665
128.75	63.25	41	4665
129.75	64.25	41	4665
130.25	64.25	41	4665
130.75	63.75	41	4665
131.75	63.75	41	4665
132.25	63.25	41	4665
132.75	63.25	41	4665
132.75	64.25	41	4665
133.75	64.25	41	4665
133.75	65.25	41	4665
134.25	65.75	41	4665
134.75	65.75	41	4665
146.25	54.25	41	4665
146.25	53.75	41	4665
145.75	53.75	41	4665
145.25	54.25	41	4665
143.75	54.25	41	4665
143.75	53.25	41	4665
142.75	53.25	41	4665
142.75	52.25	41	4665
141.75	52.25	41	4665
141.25	51.75	41	4665
139.75	51.75	41	4665
139.25	52.25	41	4665
139.25	53.25	41	4665
137.75	54.75	41	4665
137.75	56.25	41	4665
138.75	57.25	41	4665
138.75	57.75	41	4665
138.25	57.75	41	4665
134.25	53.75	41	4665
134.25	53.25	41	4665
135.25	53.25	41	4665
135.75	52.75	41	4665
135.75	52.25	41	4665
134.25	50.75	41	4665
133.25	50.75	41	4665
132.75	50.25	41	4665
131.75	50.25	41	4665
131.75	49.75	41	4665
133.25	48.25	41	4665
133.75	48.25	41	4665
134.25	48.75	41	4665
134.25	49.75	41	4665
134.75	49.75	41	4665
135.75	48.75	41	4665
136.75	48.75	41	4665
136.75	46.25	41	4665
135.75	46.25	41	4665
135.75	45.75	41	4665
136.25	45.25	41	4665
138.25	45.25	41	4665
138.75	44.75	41	4665
138.75	44.25	41	4665
137.75	44.25	41	4665
137.25	43.75	41	4665
136.75	43.75	41	4665
135.75	44.75	41	4665
133.75	44.75	41	4665
133.75	45.25	41	4665
134.25	45.75	41	4665
134.25	46.25	41	4665
133.75	46.75	41	4665
132.75	46.75	41	4665
132.75	47.75	41	4665
131.75	47.75	41	4665
131.75	48.75	41	4665
128.75	51.75	41	4665
128.75	52.25	41	4665
129.25	52.25	41	4665
130.75	50.75	41	4665
131.25	50.75	41	4665
131.25	51.25	41	4665
129.25	53.25	41	4665
129.25	53.75	41	4665
130.25	53.75	41	4665
130.25	54.75	41	4665
130.75	55.25	41	4665
130.75	56.25	41	4665
131.75	56.25	41	4665
133.25	57.75	41	4665
133.75	57.75	41	4665
133.75	57.25	41	4665
133.25	56.75	41	4665
133.25	56.25	41	4665
133.75	55.75	41	4665
134.25	55.75	41	4665
134.25	56.75	41	4665
135.25	56.75	41	4665
135.25	57.25	41	4665
134.75	57.75	41	4665
134.75	58.25	41	4665
135.25	58.75	41	4665
135.25	59.75	41	4665
135.75	60.25	41	4665
135.75	60.75	41	4665
135.25	61.25	41	4665
134.25	61.25	41	4665
133.75	61.75	41	4665
133.25	61.75	41	4665
133.25	60.75	41	4665
131.75	60.75	41	4665
131.25	61.25	41	4665
130.75	61.25	41	4665
130.75	59.25	41	4665
130.25	59.25	41	4665
129.75	59.75	41	4665
129.75	60.75	41	4665
126.75	60.75	41	4665
124.75	62.75	41	4665
127.25	65.25	64	9
127.25	65.75	64	9
130.75	69.25	64	9
131.25	69.25	64	9
134.25	66.25	64	9
134.25	65.75	64	9
133.75	65.25	64	9
133.75	64.25	64	9
132.75	64.25	64	9
132.75	63.25	64	9
132.25	63.25	64	9
131.75	63.75	64	9
130.75	63.75	64	9
130.25	64.25	64	9
129.75	64.25	64	9
128.75	63.25	64	9
128.75	62.25	64	9
128.25	62.25	64	9
127.75	62.75	64	9
127.75	63.75	64	9
126.75	63.75	64	9
126.75	64.25	64	9
127.25	64.75	64	9
127.25	65.25	64	9
116.25	52.25	1	1381
116.25	52.75	1	1381
117.25	53.75	1	1381
117.75	53.75	1	1381
117.75	52.75	1	1381
118.25	52.75	1	1381
119.75	54.25	1	1381
120.25	54.25	1	1381
122.25	52.25	1	1381
122.25	51.25	1	1381
123.75	49.75	1	1381
124.75	49.75	1	1381
125.25	49.25	1	1381
126.25	49.25	1	1381
126.25	48.25	1	1381
126.75	47.75	1	1381
126.75	46.75	1	1381
127.75	46.75	1	1381
127.75	45.75	1	1381
128.75	45.75	1	1381
129.75	44.75	1	1381
129.75	44.25	1	1381
129.25	43.75	1	1381
128.25	43.75	1	1381
128.25	43.25	1	1381
128.75	42.75	1	1381
129.25	42.75	1	1381
129.75	43.25	1	1381
130.25	43.25	1	1381
130.75	42.75	1	1381
131.75	42.75	1	1381
132.75	41.75	1	1381
132.75	40.75	1	1381
133.75	40.75	1	1381
138.25	36.25	1	1381
138.25	34.75	1	1381
137.25	33.75	1	1381
137.25	33.25	1	1381
137.75	33.25	1	1381
139.25	34.75	1	1381
139.75	34.75	1	1381
141.25	33.25	1	1381
142.25	33.25	1	1381
147.75	27.75	1	1381
148.25	27.75	1	1381
148.25	28.25	1	1381
147.25	29.25	1	1381
147.25	29.75	1	1381
147.75	30.25	1	1381
148.25	30.25	1	1381
148.25	29.25	1	1381
150.75	26.75	1	1381
150.75	25.75	1	1381
159.25	17.25	1	1381
159.25	16.75	1	1381
158.75	16.75	1	1381
150.75	24.75	1	1381
149.75	24.75	1	1381
149.25	25.25	1	1381
149.25	26.25	1	1381
148.25	26.25	1	1381
143.75	30.75	1	1381
142.75	30.75	1	1381
142.75	31.75	1	1381
142.25	32.25	1	1381
141.75	32.25	1	1381
138.75	29.25	1	1381
138.75	28.75	1	1381
146.25	21.25	1	1381
146.25	19.75	1	1381
145.75	19.75	1	1381
145.25	20.25	1	1381
144.25	20.25	1	1381
144.25	21.25	1	1381
143.25	21.25	1	1381
143.25	22.25	1	1381
142.75	22.75	1	1381
141.75	22.75	1	1381
141.75	23.75	1	1381
140.25	25.25	1	1381
139.25	25.25	1	1381
138.75	25.75	1	1381
138.75	26.75	1	1381
137.75	27.75	1	1381
137.25	27.75	1	1381
137.25	26.75	1	1381
136.75	26.75	1	1381
136.25	27.25	1	1381
136.25	27.75	1	1381
136.75	28.25	1	1381
136.75	28.75	1	1381
136.25	28.75	1	1381
135.25	27.75	1	1381
134.75	27.75	1	1381
134.75	28.75	1	1381
134.25	29.25	1	1381
133.75	29.25	1	1381
131.75	27.25	1	1381
131.25	27.25	1	1381
131.25	28.25	1	1381
130.25	29.25	1	1381
129.25	29.25	1	1381
129.25	29.75	1	1381
129.75	30.25	1	1381
129.75	30.75	1	1381
128.75	30.75	1	1381
128.25	31.25	1	1381
128.25	31.75	1	1381
129.25	31.75	1	1381
129.75	32.25	1	1381
130.25	32.25	1	1381
131.75	30.75	1	1381
131.75	29.75	1	1381
132.25	29.75	1	1381
132.75	30.25	1	1381
132.75	30.75	1	1381
131.25	32.25	1	1381
131.25	33.25	1	1381
130.75	33.75	1	1381
129.75	33.75	1	1381
129.25	34.25	1	1381
127.75	34.25	1	1381
127.75	33.75	1	1381
128.25	33.25	1	1381
128.25	32.75	1	1381
127.75	32.25	1	1381
127.25	32.25	1	1381
126.75	32.75	1	1381
126.25	32.75	1	1381
125.75	32.25	1	1381
125.25	32.25	1	1381
124.75	32.75	1	1381
124.75	33.25	1	1381
125.25	33.75	1	1381
125.25	34.25	1	1381
123.75	35.75	1	1381
123.75	36.25	1	1381
125.25	37.75	1	1381
125.25	38.25	1	1381
124.75	38.25	1	1381
124.25	37.75	1	1381
123.75	37.75	1	1381
123.75	38.25	1	1381
124.25	38.75	1	1381
124.25	39.75	1	1381
124.75	40.25	1	1381
125.25	40.25	1	1381
125.25	39.25	1	1381
126.25	39.25	1	1381
126.25	38.25	1	1381
126.75	37.75	1	1381
127.75	37.75	1	1381
127.75	36.75	1	1381
128.25	36.25	1	1381
128.25	35.25	1	1381
128.75	35.25	1	1381
129.25	35.75	1	1381
129.75	35.75	1	1381
130.25	35.25	1	1381
130.75	35.25	1	1381
131.25	35.75	1	1381
131.25	36.25	1	1381
127.25	40.25	1	1381
127.25	41.25	1	1381
126.75	41.75	1	1381
125.75	41.75	1	1381
116.25	51.25	1	1381
116.25	52.25	1	1381
65.75	-0.25	57	6718
65.75	0.25	57	6718
66.25	0.75	57	6718
101.75	0.75	57	6718
102.25	0.25	57	6718
102.25	-0.25	57	6718
65.75	-0.25	57	6718
81.75	15.75	25	3353
81.75	16.25	25	3353
83.75	18.25	25	3353
84.25	18.25	25	3353
84.25	17.25	25	3353
85.25	17.25	25	3353
85.75	16.75	25	3353
87.25	16.75	25	3353
87.25	17.25	25	3353
86.75	17.75	25	3353
86.75	18.25	25	3353
87.25	18.25	25	3353
87.75	17.75	25	3353
88.25	17.75	25	3353
88.75	18.25	25	3353
88.75	18.75	25	3353
86.75	20.75	25	3353
86.75	21.25	25	3353
93.25	27.75	25	3353
93.75	27.75	25	3353
93.75	26.75	25	3353
94.25	26.25	25	3353
95.25	26.25	25	3353
97.25	24.25	25	3353
97.75	24.25	25	3353
97.75	24.75	25	3353
96.25	26.25	25	3353
96.25	26.75	25	3353
97.75	26.75	25	3353
97.75	25.75	25	3353
98.75	25.75	25	3353
99.25	25.25	25	3353
99.75	25.25	25	3353
99.75	25.75	25	3353
97.75	27.75	25	3353
97.75	28.25	25	3353
98.25	28.25	25	3353
99.25	27.25	25	3353
99.75	27.25	25	3353
100.25	27.75	25	3353
100.75	27.75	25	3353
101.25	27.25	25	3353
101.75	27.25	25	3353
102.75	28.25	25	3353
103.25	28.25	25	3353
103.25	26.75	25	3353
101.75	25.25	25	3353
101.75	24.75	25	3353
103.25	23.25	25	3353
103.75	23.25	25	3353
107.25	26.75	25	3353
107.75	26.75	25	3353
107.75	26.25	25	3353
106.25	24.75	25	3353
106.25	23.25	25	3353
106.75	22.75	25	3353
107.75	22.75	25	3353
107.75	21.75	25	3353
108.75	21.75	25	3353
109.75	20.75	25	3353
110.25	20.75	25	3353
112.25	22.75	25	3353
112.75	22.75	25	3353
113.25	22.25	25	3353
113.75	22.25	25	3353
114.25	22.75	25	3353
114.25	23.25	25	3353
113.75	23.75	25	3353
113.75	24.25	25	3353
115.75	26.25	25	3353
116.25	26.25	25	3353
117.75	24.75	25	3353
118.25	24.75	25	3353
118.25	25.25	25	3353
117.75	25.75	25	3353
117.75	26.25	25	3353
118.25	26.75	25	3353
118.75	26.75	25	3353
120.25	25.25	25	3353
120.25	24.75	25	3353
119.25	24.75	25	3353
119.25	24.25	25	3353
119.75	23.75	25	3353
120.25	23.75	25	3353
121.25	24.75	25	3353
121.75	24.75	25	3353
122.75	23.75	25	3353
123.75	23.75	25	3353
124.25	23.25	25	3353
125.25	23.25	25	3353
125.25	22.75	25	3353
124.25	21.75	25	3353
124.25	19.75	25	3353
123.25	18.75	25	3353
122.25	18.75	25	3353
121.75	18.25	25	3353
121.25	18.25	25	3353
121.25	18.75	25	3353
121.75	19.25	25	3353
121.75	19.75	25	3353
120.25	21.25	25	3353
119.75	21.25	25	3353
119.75	20.25	25	3353
119.25	20.25	25	3353
118.75	20.75	25	3353
118.25	20.75	25	3353
118.25	20.25	25	3353
118.75	19.75	25	3353
118.75	19.25	25	3353
116.75	17.25	25	3353
116.75	16.25	25	3353
116.25	16.25	25	3353
115.75	16.75	25	3353
113.75	16.75	25	3353
111.25	19.25	25	3353
110.25	19.25	25	3353
109.75	19.75	25	3353
109.25	19.75	25	3353
108.25	18.75	25	3353
106.75	18.75	25	3353
105.75	19.75	25	3353
